Team,PA,BB%,K%,BB/K,SB,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+
LAD,12029,10.60%,21.40%,0.49,0,0.341,0.471,0.813,0.215,1.1,0.29,1717,260.4,0.344,116
WSN,11272,11.30%,19.30%,0.58,0,0.352,0.451,0.804,0.186,1.1,0.3,1584,222.8,0.341,110
CIN,11579,10.60%,20.00%,0.53,0,0.35,0.449,0.799,0.184,1.1,0.305,1625,225.2,0.341,107
BOS,10802,9.50%,21.70%,0.44,0,0.337,0.458,0.795,0.196,1.4,0.307,1480,174.2,0.337,107
CLE,14450,9.60%,18.70%,0.51,0,0.338,0.453,0.791,0.191,1.1,0.292,1975,227.3,0.337,109
CHC,12972,11.30%,20.60%,0.55,0,0.346,0.439,0.784,0.185,1.4,0.292,1765,195.1,0.336,108
NYM,13178,10.10%,20.40%,0.49,0,0.336,0.441,0.777,0.188,1.1,0.289,1755,163.2,0.333,111
TBR,11576,9.60%,23.00%,0.42,0,0.33,0.451,0.781,0.2,1.9,0.297,1545,143.1,0.332,113
MIL,11097,11.40%,24.40%,0.47,0,0.338,0.433,0.771,0.187,1.1,0.297,1468,120.9,0.331,103
COL,10584,8.50%,21.10%,0.4,0,0.333,0.442,0.775,0.175,1.6,0.317,1379,97,0.329,89
MIN,13789,9.20%,19.50%,0.47,0,0.332,0.437,0.768,0.177,1.1,0.297,1796,127.1,0.329,106
HOU,8109,9.30%,19.60%,0.47,0,0.331,0.438,0.769,0.179,1.1,0.294,1053,70.3,0.328,108
ATL,12942,9.80%,18.20%,0.54,0,0.34,0.429,0.769,0.164,1.4,0.303,1674,109.8,0.328,101
PIT,11332,9.50%,19.80%,0.48,0,0.334,0.431,0.765,0.171,1.4,0.301,1460,84.7,0.327,103
OAK,9969,10.40%,19.40%,0.53,0,0.331,0.427,0.758,0.177,1.1,0.283,1264,59.5,0.325,107
SFG,12394,9.20%,20.20%,0.45,0,0.327,0.434,0.761,0.179,1.6,0.295,1561,59.5,0.324,103
STL,8713,10.90%,21.70%,0.5,0,0.338,0.413,0.751,0.169,1.4,0.291,1099,41.7,0.324,103
TEX,12004,9.70%,24.50%,0.4,0,0.32,0.438,0.758,0.197,1.1,0.283,1511,58.9,0.324,96
NYY,10160,10.70%,19.70%,0.54,0,0.329,0.42,0.749,0.177,1.4,0.274,1264,40.4,0.323,102
PHI,12141,9.70%,22.40%,0.43,0,0.328,0.42,0.748,0.17,1.4,0.299,1497,31.3,0.321,97
TOR,8456,9.90%,23.90%,0.41,0,0.317,0.418,0.735,0.179,0.6,0.283,1007,-18.9,0.316,96
ARI,12099,9.70%,22.00%,0.44,0,0.32,0.412,0.732,0.168,1.9,0.292,1433,-36.9,0.314,91
LAA,8238,9.20%,24.70%,0.38,0,0.313,0.42,0.733,0.182,1.1,0.287,970,-31.2,0.313,96
SEA,12217,8.80%,20.10%,0.43,0,0.318,0.409,0.727,0.161,1.1,0.286,1426,-51.9,0.313,100
SDP,10137,9.10%,22.50%,0.4,0,0.324,0.398,0.721,0.149,1.1,0.303,1172,-52.8,0.312,95
BAL,8632,9.30%,25.10%,0.37,0,0.312,0.411,0.723,0.177,0.9,0.282,1003,-46.2,0.311,93
CHW,11041,9.20%,22.80%,0.4,0,0.322,0.394,0.716,0.147,1.4,0.303,1270,-64.5,0.311,95
KCR,10090,8.30%,21.20%,0.39,0,0.312,0.403,0.715,0.156,1.4,0.29,1134,-86.5,0.308,90
DET,9356,8.70%,24.40%,0.36,0,0.314,0.396,0.71,0.151,1.6,0.305,1049,-84,0.307,91
MIA,8723,8.70%,21.90%,0.4,0,0.32,0.387,0.707,0.139,1.4,0.3,960,-93.7,0.306,92
